Accelerogram: G:\¿ÆÑÐ\Pulse_Phase3\OpenSees\InelasticSDOF\bin\GMFiles\0219_RSN1044\RSN1044_DirRot2.AT2
Constant Ductility Inlastic Spectrum. Number of Displacement Ductility Factors: 3
 
        Period [sec]	        Acc./Elastic	      Acc./Duct.=2.0	      Acc./Duct.=4.0	      Acc./Duct.=6.0	        Vel./Elastic	      Vel./Duct.=2.0	      Vel./Duct.=4.0	      Vel./Duct.=6.0	        Dsp./Elastic	      Dsp./Duct.=2.0	      Dsp./Duct.=4.0	      Dsp./Duct.=6.0	     PS-Acc./Elastic	     PS-Vel./Elastic	
        Period [sec]	        Acc./Elastic	      Acc./Duct.=2.0	      Acc./Duct.=4.0	      Acc./Duct.=6.0	        Vel./Elastic	      Vel./Duct.=2.0	      Vel./Duct.=4.0	      Vel./Duct.=6.0	        Dsp./Elastic	      Dsp./Duct.=2.0	      Dsp./Duct.=4.0	      Dsp./Duct.=6.0	     PS-Acc./Elastic	     PS-Vel./Elastic	
               0.000	             0.69718	             0.69718	             0.69718	             0.69718	             0.00000	             0.00000	             0.00000	             0.00000	             0.00000	             0.00000	             0.00000	             0.00000	             0.69718	             0.00000	
               0.050	             0.72780	             0.67779	             0.66730	             0.66160	             1.56191	             1.56191	             1.57588	             1.82707	             0.04517	             0.08186	             0.15787	             0.22987	             0.72707	             5.67590	
               0.100	             1.06702	             0.82458	             0.74268	             0.70440	             7.30781	             7.30781	             7.76788	             8.01509	             0.26325	             0.36909	             0.64859	             0.91881	             1.05939	            16.54034	
               0.150	             1.24793	             0.94601	             0.79949	             0.74352	            18.66945	            16.93824	            15.42424	            15.38267	             0.69070	             0.93044	             1.50232	             2.06431	             1.23537	            28.93197	
               0.200	             1.33177	             0.98586	             0.84270	             0.77602	            28.59892	            27.47239	            25.40148	            25.43425	             1.30976	             1.67982	             2.71603	             3.66312	             1.31772	            41.14739	
               0.250	             1.44784	             1.06771	             0.86381	             0.75428	            53.04562	            40.16216	            35.00776	            32.16469	             2.22362	             2.84271	             4.28829	             5.50076	             1.43176	            55.88561	
               0.300	             1.30857	             0.87771	             0.76890	             0.69018	            47.49495	            41.08534	            40.90737	            45.20425	             2.89488	             3.32201	             5.36094	             6.68724	             1.29443	            60.63013	
               0.350	             1.24980	             0.92655	             0.82324	             0.75108	            48.46880	            48.37287	            51.31378	            52.68509	             3.76303	             4.85979	             7.89443	            10.31693	             1.23621	            67.55372	
               0.400	             1.27584	             0.96800	             0.82219	             0.59012	            66.09874	            55.37498	            62.30213	            59.02087	             5.01790	             6.53934	            10.23765	             9.56022	             1.26210	            78.82097	
               0.450	             1.25596	             0.95878	             0.71257	             0.61315	            77.88049	            74.68507	            70.75323	            65.89513	             6.25345	             7.81203	            10.30277	            12.83170	             1.24275	            87.31462	
               0.500	             1.62649	             1.07312	             0.75043	             0.61632	            98.57603	            90.08841	            80.82703	            72.63341	             9.97791	            10.74077	            13.58908	            16.04331	             1.60616	           125.38596	
               0.550	             1.75854	             1.19158	             0.71005	             0.59691	           131.47559	           108.11716	            85.98253	            77.86041	            13.04301	            14.59630	            15.43754	            18.74831	             1.73517	           149.00288	
               0.600	             1.82991	             1.23529	             0.68158	             0.55958	           170.41175	           126.59237	            90.82624	            81.80644	            16.14653	            17.93036	            17.53265	            20.62842	             1.80496	           169.08592	
               0.650	             1.88188	             1.15416	             0.64716	             0.51727	           198.97333	           136.05030	            94.31711	            86.24518	            19.45016	            19.26959	            19.45344	            21.85007	             1.85262	           188.01359	
               0.700	             1.84199	             0.85889	             0.59302	             0.45973	           206.26207	           119.83183	            96.01444	            89.01660	            22.04292	            15.78152	            20.35986	            21.70555	             1.81035	           197.85662	
               0.750	             1.70419	             0.76972	             0.51189	             0.41681	           192.75346	           119.24087	            96.85909	            91.26250	            23.34002	            15.92723	            19.41437	            21.90775	             1.66982	           195.53272	
               0.800	             1.52529	             0.96444	             0.46567	             0.39541	           170.78071	           146.20179	            99.11403	            93.21108	            23.72895	            23.71150	            19.51167	            23.47054	             1.49207	           186.36658	
               0.850	             1.37354	             0.95874	             0.44230	             0.37952	           153.02145	           153.02145	           101.53884	            94.66097	            24.09273	            26.87571	            20.79370	            25.55021	             1.34196	           178.09291	
               0.900	             1.28294	             0.89677	             0.42931	             0.36593	           152.79752	           152.79752	           104.05729	            95.56473	            25.16767	            27.88512	            22.64440	            27.73713	             1.25040	           175.70333	
               0.950	             1.24314	             0.86958	             0.41904	             0.35541	           160.06693	           160.06693	           106.12934	           103.10888	            27.11012	            29.87181	            24.77403	            29.14696	             1.20885	           179.30290	
               1.000	             1.22187	             0.54994	             0.40878	             0.31998	           172.84932	           129.46236	           107.78228	           105.66400	            29.39167	            19.14359	            26.93645	            27.48297	             1.18281	           184.67317	
               1.050	             1.19314	             0.54618	             0.39522	             0.29959	           188.90976	           133.95276	           108.37915	           107.10636	            31.71399	            21.39009	            28.95187	            27.73027	             1.15761	           189.77591	
               1.100	             1.14539	             0.54407	             0.38064	             0.28332	           204.02608	           138.04745	           113.91471	           108.11096	            33.42881	            23.73865	            29.86558	            28.43414	             1.11180	           190.94476	
               1.150	             1.07437	             0.55347	             0.33942	             0.26938	           216.81509	           143.53124	           115.38070	           108.84060	            34.40278	            26.97248	            27.66738	            29.23203	             1.04686	           187.96425	
               1.200	             0.99029	             0.54816	             0.31401	             0.25650	           225.76028	           147.44330	           115.69431	           109.19654	            34.90324	            30.39912	            27.31285	            29.99485	             0.97542	           182.75280	
               1.250	             0.92237	             0.56061	             0.29614	             0.24459	           229.37860	           147.80831	           116.01567	           109.46485	            35.24773	            33.14644	            27.59175	            30.88394	             0.90782	           177.17426	
               1.300	             0.87374	             0.50208	             0.28064	             0.23291	           228.53635	           140.64039	           116.01707	           109.23510	            35.39440	            30.47415	            27.92919	            31.57494	             0.84283	           171.06878	
               1.350	             0.84337	             0.45011	             0.26665	             0.22238	           222.51170	           143.32977	           115.82558	           109.03795	            36.86340	            28.31917	            28.37352	            32.31917	             0.81399	           171.56989	
               1.400	             0.80249	             0.37622	             0.25339	             0.21218	           212.22136	           136.37399	           115.31007	           108.60161	            37.64323	            24.43339	            28.81747	            32.97836	             0.77290	           168.94226	
               1.450	             0.75241	             0.33899	             0.24112	             0.20218	           198.90398	           132.41938	           114.59831	           107.79652	            37.80653	            23.26265	            29.20151	            33.53348	             0.72364	           163.82429	
               1.500	             0.69501	             0.32405	             0.22989	             0.19333	           189.74335	           132.26579	           113.87722	           107.16248	            37.36678	            23.55274	            29.62322	            34.16091	             0.66833	           156.52147	
               1.550	             0.63285	             0.31383	             0.21917	             0.18480	           196.05252	           133.11563	           112.87739	           106.36279	            36.33015	            24.59974	            30.06965	            34.72216	             0.60855	           147.27023	
               1.600	             0.57018	             0.29847	             0.21182	             0.17691	           199.81592	           132.80589	           112.36652	           105.57372	            34.75720	            25.53265	            31.01423	            35.24472	             0.54638	           136.49108	
               1.650	             0.50619	             0.28938	             0.20481	             0.16959	           202.03935	           132.63145	           111.87232	           104.78920	            32.70966	            26.66571	            31.92729	            35.79900	             0.48350	           124.55798	
               1.700	             0.47472	             0.26364	             0.19666	             0.16265	           201.73934	           130.35039	           111.15956	           103.95591	            33.23731	            26.80415	            32.76117	            36.32520	             0.46283	           122.84470	
               1.750	             0.46505	             0.24414	             0.18984	             0.15616	           199.29645	           129.04506	           110.28725	           103.12753	            34.39762	            27.66698	            33.50291	            36.87535	             0.45200	           123.50082	
               1.800	             0.45318	             0.22664	             0.18312	             0.15178	           195.10692	           127.58899	           109.29937	           102.76883	            35.27967	            28.41391	            34.16657	            38.01038	             0.43820	           123.14917	
               1.850	             0.43856	             0.21997	             0.17483	             0.14862	           190.21831	           125.61275	           109.10806	           102.58155	            36.00172	            29.15746	            35.93399	            39.60776	             0.42332	           122.27314	
               1.900	             0.42269	             0.21550	             0.17094	             0.14525	           184.43846	           123.58075	           108.46367	           102.35833	            36.45173	            29.84842	            37.18741	            41.21882	             0.40635	           120.54355	
               1.950	             0.40475	             0.21075	             0.15768	             0.14219	           177.83176	           121.77083	           107.25273	           102.05097	            36.71667	            30.50848	            37.54589	            42.73846	             0.38858	           118.30640	
               2.000	             0.38700	             0.20537	             0.14814	             0.13901	           170.67327	           119.72320	           105.84723	           101.66936	            36.78749	            31.15711	            37.53204	            44.15731	             0.37011	           115.57120	
               2.050	             0.36823	             0.20078	             0.14176	             0.13219	           163.19143	           117.73313	           104.66684	           101.23675	            36.69044	            31.70135	            37.51394	            45.55900	             0.35135	           112.45496	
               2.100	             0.34907	             0.19594	             0.13456	             0.12773	           155.57038	           115.80320	           103.68011	           100.83976	            36.43762	            32.23645	            37.60298	            46.52686	             0.33251	           109.02101	
               2.150	             0.33060	             0.19036	             0.12953	             0.12323	           147.95460	           113.93174	           102.80526	           100.30304	            36.06142	            32.75675	            37.73565	            46.87507	             0.31395	           105.38622	
               2.200	             0.31201	             0.18676	             0.12592	             0.11927	           140.45453	           112.19011	           102.08258	            99.84738	            35.53268	            33.20929	            38.22710	            47.17700	             0.29544	           101.48100	
               2.250	             0.29355	             0.18017	             0.12274	             0.11562	           133.15246	           110.29682	           101.46173	            99.46195	            34.94153	            33.68469	            38.81550	            47.60147	             0.27776	            97.57507	
               2.300	             0.27611	             0.17310	             0.11818	             0.10970	           126.10804	           108.45463	           100.87085	            99.09512	            34.20165	            34.13134	            39.49051	            48.11240	             0.26018	            93.43265	
               2.350	             0.25903	             0.16714	             0.11574	             0.10433	           119.82915	           106.71546	           100.36029	            98.81962	            33.41114	            34.60848	            40.26632	            48.79183	             0.24347	            89.33114	
               2.400	             0.24237	             0.16067	             0.11353	             0.10103	           121.00765	           105.07498	            99.89485	            98.79202	            32.65078	            35.05030	            41.13964	            49.65024	             0.22812	            85.47946	
               2.450	             0.23201	             0.15592	             0.11150	             0.09899	           122.00637	           103.50551	            99.41735	            98.77661	            33.11247	            35.45792	            42.08385	            50.58103	             0.22200	            84.91901	
               2.500	             0.22649	             0.15226	             0.10843	             0.09713	           122.83680	           101.99157	            98.96126	            98.78910	            33.57373	            35.84804	            43.24703	            51.67242	             0.21618	            84.37991	
               2.550	             0.22108	             0.14870	             0.10712	             0.09526	           123.37614	           100.51615	            98.50415	            98.77917	            34.03236	            36.22469	            44.44671	            52.80640	             0.21062	            83.85547	
               2.600	             0.21578	             0.14527	             0.10580	             0.09267	           123.65282	            99.08185	            98.02254	            98.77114	            34.46344	            36.59985	            45.63548	            53.92672	             0.20516	            83.28460	
               2.650	             0.21060	             0.14184	             0.10449	             0.09116	           123.69213	            97.00591	            97.50369	            98.75792	            34.86752	            36.97164	            46.81209	            55.08446	             0.19981	            82.67128	
               2.700	             0.20552	             0.13873	             0.10319	             0.08973	           123.51675	            94.49198	            96.94973	            98.73306	            35.24493	            37.30772	            48.02997	            56.25940	             0.19456	            82.01861	
               2.750	             0.20056	             0.13555	             0.10155	             0.08829	           123.14717	            92.18944	            95.68446	            98.46856	            35.61767	            37.62710	            48.91073	            57.43248	             0.18954	            81.37900	
               2.800	             0.19571	             0.13246	             0.10004	             0.08684	           122.67732	            90.08717	            94.50751	            97.67959	            35.98655	            37.93512	            49.80790	            58.37565	             0.18472	            80.75356	
               2.850	             0.19096	             0.12935	             0.09869	             0.08554	           122.16503	            88.19611	            93.42303	            96.98206	            36.32762	            38.22311	            50.76386	            59.40504	             0.17999	            80.08877	
               2.900	             0.18631	             0.12779	             0.09721	             0.08430	           121.49708	            89.33342	            93.29061	            96.34842	            36.64099	            38.76420	            51.55209	            60.48062	             0.17533	            79.38688	
               2.950	             0.18176	             0.12617	             0.09568	             0.08315	           120.68878	            91.19129	            94.24487	            95.79779	            36.92679	            39.52731	            52.36196	            61.62817	             0.17076	            78.65005	
