Accelerogram: G:\¿ÆÑÐ\Pulse_Phase3\OpenSees\InelasticSDOF\bin\GMFiles\0219_RSN1044\RSN1044_DirRot2.AT2
Constant Ductility Inlastic Spectrum. Number of Displacement Ductility Factors: 3
 
        Period [sec]	        Acc./Elastic	      Acc./Duct.=2.0	      Acc./Duct.=4.0	      Acc./Duct.=6.0	        Vel./Elastic	      Vel./Duct.=2.0	      Vel./Duct.=4.0	      Vel./Duct.=6.0	        Dsp./Elastic	      Dsp./Duct.=2.0	      Dsp./Duct.=4.0	      Dsp./Duct.=6.0	     PS-Acc./Elastic	     PS-Vel./Elastic	
        Period [sec]	        Acc./Elastic	      Acc./Duct.=2.0	      Acc./Duct.=4.0	      Acc./Duct.=6.0	        Vel./Elastic	      Vel./Duct.=2.0	      Vel./Duct.=4.0	      Vel./Duct.=6.0	        Dsp./Elastic	      Dsp./Duct.=2.0	      Dsp./Duct.=4.0	      Dsp./Duct.=6.0	     PS-Acc./Elastic	     PS-Vel./Elastic	
               0.000	             0.69718	             0.69718	             0.69718	             0.69718	             0.00000	             0.00000	             0.00000	             0.00000	             0.00000	             0.00000	             0.00000	             0.00000	             0.69718	             0.00000	
               0.050	             0.72387	             0.67348	             0.66048	             0.65304	             1.61387	             1.61387	             1.73562	             1.87716	             0.04496	             0.08302	             0.16231	             0.23964	             0.72380	             5.65041	
               0.100	             1.16927	             0.82777	             0.73131	             0.69667	             8.26760	             8.94384	             8.60596	            10.07291	             0.29049	             0.40308	             0.70608	             1.00798	             1.16900	            18.25175	
               0.150	             1.60863	             1.00113	             0.75749	             0.70406	            33.29909	            23.04204	            16.71834	            18.69090	             0.89778	             1.08744	             1.64022	             2.26890	             1.60574	            37.60591	
               0.200	             1.76818	             1.09359	             0.89198	             0.80220	            41.60465	            34.36100	            33.86679	            33.27366	             1.75804	             2.09446	             3.37582	             4.52927	             1.76872	            55.23045	
               0.250	             2.76802	             1.22873	             0.91635	             0.76457	           102.51967	            55.74374	            45.61090	            42.37814	             4.29479	             3.67395	             5.41642	             6.73188	             2.76536	           107.93972	
               0.300	             1.82506	             1.05348	             0.71967	             0.66094	            81.42288	            56.59289	            51.88300	            54.51985	             4.07836	             4.54812	             6.03263	             8.26489	             1.82361	            85.41682	
               0.350	             1.50481	             0.98861	             0.80146	             0.72168	            53.48303	            63.76516	            60.27976	            64.39074	             4.57557	             5.79391	             9.24441	            12.34062	             1.50314	            82.14037	
               0.400	             2.21556	             1.12592	             0.79844	             0.71733	           132.29333	            75.81895	            73.20596	            73.49878	             8.80363	             8.64138	            12.00808	            16.09466	             2.21428	           138.28702	
               0.450	             2.28118	             1.00213	             0.74224	             0.57852	           155.67446	            93.37457	            91.12271	            81.38839	            11.48137	             9.59483	            13.92340	            16.06473	             2.28170	           160.30998	
               0.500	             2.50928	             1.20756	             0.75537	             0.58079	           196.28076	           119.17957	           102.48179	            88.79898	            15.56484	            14.27869	            17.49439	            19.97401	             2.50550	           195.59338	
               0.550	             2.37663	             1.37318	             0.88817	             0.55646	           190.70815	           144.00704	           121.04202	            95.46249	            17.82472	            19.84301	            25.11793	            23.10503	             2.37130	           203.62892	
               0.600	             2.48852	             1.43301	             0.64212	             0.52950	           226.34672	           164.14335	           110.65262	           101.28945	            22.24521	            24.49033	            21.27489	            26.09168	             2.48670	           232.95106	
               0.650	             2.67303	             1.55965	             0.65113	             0.44515	           289.07303	           204.60459	           119.00999	           101.98960	            28.03771	            31.41110	            25.38229	            25.49387	             2.67058	           271.02456	
               0.700	             2.58260	             0.94602	             0.56408	             0.39312	           305.35305	           159.39135	           117.65414	           103.26993	            31.41605	            21.64338	            25.37879	            25.99553	             2.58015	           281.98959	
               0.750	             2.26590	             0.80293	             0.41906	             0.32448	           268.05209	           152.76302	           112.59783	           104.30500	            31.65205	            21.00810	            21.28852	            24.24119	             2.26448	           265.16741	
               0.800	             1.85178	             1.07953	             0.36144	             0.31285	           220.10243	           193.26460	           113.78568	           104.72011	            29.40211	            32.63023	            20.64304	            26.62128	             1.84879	           230.92342	
               0.850	             1.53149	             0.87072	             0.35293	             0.30644	           189.14520	           164.89946	           115.66216	           105.90388	            27.46275	            29.49424	            22.81940	            29.58083	             1.52966	           203.00398	
               0.900	             1.39897	             0.78507	             0.35141	             0.30274	           186.67892	           151.23617	           117.52874	           117.22363	            28.11684	            29.84909	            25.56283	            32.54862	             1.39692	           196.29241	
               0.950	             1.42613	             0.80762	             0.34972	             0.25462	           204.40077	           162.08602	           118.92969	           124.64375	            31.95019	            34.20799	            28.44138	            29.71728	             1.42468	           211.31453	
               1.000	             1.48894	             0.86197	             0.34406	             0.22630	           225.43459	           190.28165	           118.36975	           123.38333	            36.97198	            40.42360	            31.13159	            28.98485	             1.48786	           232.30158	
               1.050	             1.52789	             0.89972	             0.33340	             0.20999	           253.97244	           223.12348	           131.21494	           122.51468	            41.79377	            46.62879	            33.06132	            29.62816	             1.52554	           250.09310	
               1.100	             1.54009	             0.49476	             0.26009	             0.19939	           277.89133	           159.84906	           131.82619	           122.35714	            46.22687	            27.58435	            27.54200	            30.81256	             1.53744	           264.04707	
               1.150	             1.59271	             0.53688	             0.23870	             0.18986	           287.96476	           170.92999	           130.20244	           121.79147	            52.29799	            32.99309	            27.60731	            32.11658	             1.59140	           285.73713	
               1.200	             1.63237	             0.58231	             0.22525	             0.18064	           297.63375	           181.53580	           129.20603	           120.79901	            58.42340	            39.49238	            28.28637	            33.27242	             1.63273	           305.90396	
               1.250	             1.60989	             0.62158	             0.21402	             0.17245	           308.06920	           187.09136	           128.29588	           119.99508	            62.47842	            45.93173	            29.09160	            34.46570	             1.60916	           314.05052	
               1.300	             1.52182	             0.63028	             0.20295	             0.16319	           317.23461	           182.00881	           126.99246	           118.08129	            63.81623	            49.96272	            29.90200	            35.28435	             1.51962	           308.43759	
               1.350	             1.46303	             0.61968	             0.19222	             0.15514	           296.77751	           198.47845	           125.22494	           116.55704	            66.14840	            52.89530	            30.52533	            36.15998	             1.46064	           307.86836	
               1.400	             1.26150	             0.67525	             0.18456	             0.14699	           279.20406	           221.03524	           123.97759	           114.46922	            61.38376	            61.87045	            31.53008	            36.83888	             1.26034	           275.48943	
               1.450	             1.00366	             0.27725	             0.17963	             0.14062	           255.75887	           149.31021	           123.10921	           112.84186	            52.32845	            26.21884	            32.96586	            37.84988	             1.00159	           226.75107	
               1.500	             0.92896	             0.26369	             0.17448	             0.13587	           245.98962	           147.02584	           122.04674	           111.41084	            51.80209	            26.85752	            34.32670	            39.21454	             0.92652	           216.98789	
               1.550	             0.84621	             0.25645	             0.16898	             0.13111	           253.32144	           145.76835	           120.65138	           110.16734	            50.40599	            27.94346	            35.63202	            40.45796	             0.84432	           204.32898	
               1.600	             0.75858	             0.24834	             0.16332	             0.12630	           257.69592	           143.97386	           119.01727	           108.71853	            48.16568	            29.15312	            36.82541	            41.57944	             0.75716	           189.14602	
               1.650	             0.66881	             0.23953	             0.15688	             0.12151	           257.35869	           141.62110	           117.18137	           107.33222	            45.16381	            30.29801	            37.88240	            42.57904	             0.66759	           171.98324	
               1.700	             0.60649	             0.23028	             0.14914	             0.11764	           253.48282	           139.17618	           115.47903	           106.29699	            43.45394	            31.35187	            38.82254	            43.79551	             0.60509	           160.60526	
               1.750	             0.59045	             0.22492	             0.14365	             0.11319	           247.54792	           136.47137	           113.64109	           105.43349	            44.85002	            32.25969	            39.64721	            45.12970	             0.58935	           161.02900	
               1.800	             0.57042	             0.21816	             0.13737	             0.11019	           238.93736	           133.18219	           111.78963	           104.66551	            45.88786	            33.15860	            40.33943	            46.54003	             0.56996	           160.17871	
               1.850	             0.55624	             0.21196	             0.13413	             0.10704	           228.40835	           129.84449	           110.57324	           104.09176	            47.28380	            33.92528	            41.59953	            48.30171	             0.55598	           160.59061	
               1.900	             0.59277	             0.20453	             0.12712	             0.10492	           216.63156	           126.16594	           108.34758	           103.48795	            53.13915	            34.65859	            41.57542	            50.14722	             0.59238	           175.72780	
               1.950	             0.59352	             0.19816	             0.12192	             0.10103	           204.16667	           122.80739	           106.55646	           102.56063	            56.04853	            35.27242	            41.88470	            50.82745	             0.59318	           180.59641	
               2.000	             0.54738	             0.19302	             0.11721	             0.09715	           191.45610	           119.71014	           105.04518	           102.23933	            54.35048	            35.79058	            42.26956	            51.22110	             0.54681	           170.74692	
               2.050	             0.49307	             0.18595	             0.11267	             0.09364	           178.83175	           116.34790	           103.69022	           101.98199	            51.44395	            36.35154	            42.61151	            51.87225	             0.49263	           157.67395	
               2.100	             0.44740	             0.18007	             0.10802	             0.09036	           166.52948	           113.36726	           102.44205	           101.78266	            48.99205	            36.80080	            42.93613	            52.57408	             0.44707	           146.58375	
               2.150	             0.39965	             0.17328	             0.10398	             0.08794	           154.70697	           110.47967	           101.31778	           101.60737	            45.86607	            37.32843	            43.25192	            53.61616	             0.39930	           134.03944	
               2.200	             0.36916	             0.16741	             0.10030	             0.08548	           143.46165	           107.85383	           100.49105	           101.48290	            44.33466	            37.77907	            43.61060	            54.39622	             0.36863	           126.61938	
               2.250	             0.34542	             0.16230	             0.09700	             0.08371	           143.60243	           105.35486	           100.12361	           101.30763	            43.33548	            38.21103	            44.10510	            55.76409	             0.34448	           121.01540	
               2.300	             0.32245	             0.15732	             0.09450	             0.08194	           144.73369	           103.11470	            99.71518	           101.14649	            42.30737	            38.59454	            44.70683	            57.00181	             0.32185	           115.57602	
               2.350	             0.30033	             0.15132	             0.09303	             0.07950	           145.73167	           103.09887	            99.25262	           101.10625	            41.12123	            39.04388	            46.04589	            57.91999	             0.29965	           109.94558	
               2.400	             0.27936	             0.14621	             0.09182	             0.07764	           146.40458	           102.67851	            98.77972	           101.01255	            39.88978	            39.52541	            47.37643	            58.80253	             0.27869	           104.43111	
               2.450	             0.25900	             0.14208	             0.09054	             0.07628	           146.70082	           102.57210	            98.27755	           100.55861	            38.55909	            39.95289	            48.78949	            60.22249	             0.25851	            98.88723	
               2.500	             0.24332	             0.13793	             0.08923	             0.07477	           146.66498	           102.20287	            97.36746	            99.24760	            37.72664	            40.38008	            50.00182	            61.43532	             0.24292	            94.81731	
               2.550	             0.23697	             0.13409	             0.08747	             0.07341	           146.33374	           101.74216	            95.56816	            98.09936	            38.18718	            40.78354	            51.02649	            62.72961	             0.23633	            94.09291	
               2.600	             0.23080	             0.13045	             0.08612	             0.07215	           145.90089	           101.09565	            93.93085	            97.06446	            38.67449	            41.20009	            52.22267	            64.07106	             0.23023	            93.46107	
               2.650	             0.22479	             0.12702	             0.08489	             0.07107	           145.34650	           100.31435	            94.57200	            97.16437	            39.13696	            41.61189	            53.46297	            65.57063	             0.22428	            92.79418	
               2.700	             0.21892	             0.12369	             0.08375	             0.06994	           144.55470	            99.41434	            96.06288	            97.82819	            39.57335	            42.00287	            54.74672	            66.89076	             0.21846	            92.09128	
               2.750	             0.21320	             0.12045	             0.08285	             0.06885	           143.54718	            98.40288	            97.46387	            98.40430	            39.98227	            42.37139	            56.08557	            68.32355	             0.21276	            91.35119	
               2.800	             0.20781	             0.11729	             0.08191	             0.06782	           142.34378	            97.26940	            98.83932	            98.88598	            40.37487	            42.72754	            57.52193	            69.74288	             0.20725	            90.60092	
               2.850	             0.20254	             0.11413	             0.08101	             0.06722	           140.96290	            96.02360	           100.14785	            99.51682	            40.77330	            43.07857	            58.93895	            71.70593	             0.20201	            89.88981	
               2.900	             0.20295	             0.11149	             0.08014	             0.06677	           139.42196	            97.59186	           101.40898	           100.16905	            42.35276	            43.51375	            60.41614	            73.79361	             0.20266	            91.76206	
               2.950	             0.20416	             0.10943	             0.07927	             0.06633	           137.73750	           100.09831	           102.59836	           100.77630	            44.07645	            43.94976	            61.86039	            75.93083	             0.20382	            93.87806	
