Accelerogram: C:\Users\Administrator\Desktop\Dynamics of  Str\OpenSeismoMatlab\input\Imperial Valley.dat
Constant Ductility Inlastic Spectrum. Number of Displacement Ductility Factors: 2
 
        Period [sec]	        Acc./Elastic	      Acc./Duct.=2.0	      Acc./Duct.=4.0	        Vel./Elastic	      Vel./Duct.=2.0	      Vel./Duct.=4.0	        Dsp./Elastic	      Dsp./Duct.=2.0	      Dsp./Duct.=4.0	     PS-Acc./Elastic	     PS-Vel./Elastic	
        Period [sec]	        Acc./Elastic	      Acc./Duct.=2.0	      Acc./Duct.=4.0	        Vel./Elastic	      Vel./Duct.=2.0	      Vel./Duct.=4.0	        Dsp./Elastic	      Dsp./Duct.=2.0	      Dsp./Duct.=4.0	     PS-Acc./Elastic	     PS-Vel./Elastic	
               0.000	             5.99666	             5.99666	             5.99666	             0.00000	             0.00000	             0.00000	             0.00000	             0.00000	             0.00000	             5.99666	             0.00000	
               0.050	             6.48078	             5.59652	             5.21052	            15.91078	            19.55319	            23.75905	             0.40241	             0.67498	             1.21676	             6.47771	            50.56863	
               0.100	            10.94163	             6.71403	             4.77540	           155.90543	           120.66323	            96.92067	             2.70678	             3.01008	             4.15791	            10.89290	           170.07203	
               0.150	             8.68653	             6.70556	             5.16978	           166.57736	           157.92381	           127.95651	             4.84959	             7.10502	            10.53388	             8.67387	           203.13916	
               0.200	            10.34476	             7.00601	             4.70405	           299.67082	           200.64820	           189.57540	            10.23662	            12.73776	            16.30686	            10.29880	           321.59260	
               0.250	             8.31081	             5.37522	             4.01278	           289.17215	           203.36335	           199.65501	            12.85394	            15.29575	            21.71861	             8.27649	           323.05457	
               0.300	             8.84022	             5.71009	             4.23615	           359.40528	           257.98242	           274.52381	            19.68546	            23.13643	            32.62324	             8.80224	           412.29099	
               0.350	             9.70697	             6.27328	             4.31390	           416.10023	           416.10023	           397.49477	            29.38841	            34.01377	            43.73639	             9.65450	           527.57906	
               0.400	             8.45023	             5.50946	             4.19993	           451.53547	           451.53547	           451.53547	            33.42898	            38.67953	            55.33197	             8.40801	           525.10071	
               0.450	             8.22632	             5.58377	             3.85383	           533.67680	           533.67680	           481.93226	            41.20748	            50.05458	            64.69247	             8.18919	           575.36452	
               0.500	             7.50724	             5.18688	             2.76153	           560.58753	           560.58753	           407.82538	            46.47224	            57.21087	            56.73141	             7.48072	           583.98694	
               0.550	             7.41158	             4.47869	             2.41622	           633.40557	           525.51209	           385.93272	            55.39731	            60.44649	            60.82247	             7.36976	           632.85683	
               0.600	             7.40244	             3.99077	             2.18964	           663.19127	           491.09183	           374.30419	            65.90271	            64.07597	            65.97203	             7.36700	           690.13096	
               0.650	             7.18541	             3.62604	             2.12854	           650.75806	           459.63550	           380.95127	            75.14982	            67.65135	            76.19082	             7.15799	           726.43050	
               0.700	             6.39180	             3.29059	             2.07725	           699.43637	           438.44505	           382.68747	            77.43862	            72.05276	            85.80257	             6.35992	           695.08681	
               0.750	             5.16926	             3.06453	             2.01034	           596.06769	           419.51773	           379.05696	            71.88935	            76.43289	            94.86092	             5.14318	           602.25829	
               0.800	             4.84411	             2.88309	             1.95582	           526.15573	           403.72665	           390.57901	            76.66205	            81.51367	           104.49095	             4.82048	           602.10180	
               0.850	             4.14873	             2.75546	             1.89198	           524.94640	           422.21135	           412.20729	            74.15304	            87.82497	           113.51698	             4.13030	           548.13753	
               0.900	             3.95785	             2.66714	             1.79046	           541.08487	           448.18173	           427.22598	            79.39157	            94.93408	           119.67268	             3.94439	           554.25726	
               0.950	             3.79248	             2.55776	             1.68389	           493.44155	           471.73560	           436.10419	            84.77231	           101.35424	           124.37653	             3.78004	           560.67334	
               1.000	             3.61394	             2.43700	             1.62532	           484.82478	           484.82478	           452.34260	            89.47821	           108.03998	           132.77931	             3.60087	           562.20769	
               1.050	             3.41769	             2.27344	             1.58529	           504.34774	           490.73174	           494.73677	            93.25385	           111.60520	           140.74383	             3.40391	           558.02924	
               1.100	             3.44965	             2.13787	             1.54837	           630.73923	           483.57600	           524.72499	           103.02926	           113.35171	           149.63377	             3.42661	           588.50124	
               1.150	             4.06982	             2.06289	             1.51623	           756.32142	           511.18200	           544.28228	           133.20004	           118.12576	           159.11438	             4.05321	           727.75636	
               1.200	             4.99325	             1.96081	             1.42444	           853.52253	           554.40917	           548.24477	           177.82710	           118.66837	           161.98534	             4.96965	           931.09972	
               1.250	             5.58038	             1.84586	             1.31606	           993.26942	           611.21464	           547.54256	           215.72195	           118.78264	           164.48527	             5.55603	          1084.33586	
               1.300	             5.82623	             1.90908	             1.24682	          1131.45773	           643.02925	           543.74034	           243.42442	           133.72495	           167.96421	             5.79652	          1176.52265	
               1.350	             5.75351	             1.93373	             1.17695	          1209.20631	           676.56047	           538.54055	           259.29061	           147.98638	           172.71669	             5.72545	          1206.79229	
               1.400	             5.43280	             1.92430	             1.13324	          1217.00046	           706.78069	           532.72457	           263.35694	           161.37547	           178.86402	             5.40728	          1181.94218	
               1.450	             4.96173	             1.92426	             1.09564	          1164.69334	           736.59601	           527.71193	           258.00415	           174.47718	           186.01995	             4.93834	          1117.99069	
               1.500	             4.41549	             1.92463	             1.07028	          1087.08234	           757.12885	           522.64774	           245.47271	           186.73658	           194.50442	             4.39047	          1028.23283	
               1.550	             4.01893	             1.92218	             1.04332	          1066.41969	           768.29816	           518.48711	           237.98772	           198.49179	           204.24046	             3.98640	           964.72238	
               1.600	             3.83828	             1.91073	             1.02337	          1103.33894	           766.23666	           514.84784	           242.22479	           209.06502	           214.99600	             3.80775	           951.21372	
               1.650	             3.63896	             1.60989	             1.00889	          1143.50843	           664.22299	           511.12796	           245.43303	           184.64366	           226.34326	             3.62790	           934.60600	
               1.700	             3.48736	             1.41128	             0.99604	          1171.68302	           637.01788	           506.38396	           249.21798	           171.89165	           238.09697	             3.47034	           921.10674	
               1.750	             3.32149	             1.40572	             0.98292	          1182.91383	           647.28230	           501.03378	           250.98159	           182.01065	           249.89792	             3.29804	           901.12142	
               1.800	             3.13432	             1.39501	             0.96079	          1176.62709	           652.60694	           494.35538	           251.30645	           192.32405	           260.93633	             3.12139	           877.22425	
               1.850	             2.99291	             1.38638	             0.93435	          1153.45227	           656.20409	           486.47754	           253.54743	           201.72535	           271.30578	             2.98130	           861.12656	
               1.900	             2.94323	             1.36236	             0.91967	          1115.22244	           656.27931	           477.96356	           262.72614	           211.22886	           280.54117	             2.92878	           868.81874	
               1.950	             2.88207	             1.32628	             0.90208	          1064.62092	           655.73408	           467.96934	           270.64707	           219.21978	           288.78541	             2.86434	           872.06373	
               2.000	             2.80964	             1.28729	             0.88382	          1005.01911	           650.25991	           458.03972	           277.35958	           227.32432	           296.09236	             2.79044	           871.35008	
               2.050	             2.72651	             1.25776	             0.86248	           942.53954	           641.58118	           455.78302	           282.45489	           234.93034	           302.96389	             2.70478	           865.71460	
               2.100	             2.63305	             1.22955	             0.84100	           925.01930	           632.24113	           455.65034	           286.08686	           241.81269	           309.38767	             2.61065	           855.96916	
               2.150	             2.53193	             1.20431	             0.81903	           923.20095	           621.70958	           454.73258	           288.48696	           248.24789	           315.15028	             2.51154	           843.07699	
               2.200	             2.42758	             1.17714	             0.79777	           917.78502	           615.40147	           453.34058	           289.76138	           254.39474	           320.70933	             2.40927	           827.55585	
               2.250	             2.32350	             1.15123	             0.77692	           909.51665	           610.61247	           454.49267	           290.03089	           260.22612	           325.99003	             2.30552	           809.91835	
